,Unnamed: 0,time,open,high,low,close,tick_volume,spread,real_volume,EMA_200,EMA_50,EMA50,EMA200,RSI,CCI,MACD,Signal,DIplus,DIminus,ADX,MFI,BBr,cumdelta_rsi,ROC,stoch_rsi_k,stoch_rsi_d,ParabolicSAR_Signal,cross,result
375,375,1661218800,0.99424,0.99442,0.99424,0.99438,677,23,203100000,0.99685,0.99418,0.99418,0.99685,58.80549,161.55291,3.23e-05,2.41e-05,28.89361,7.33714,30.58002,56.56186,1.05848,64.14058,0.01408,84.86745,67.7292,1,1,loss
395,395,1661224800,0.99346,0.99382,0.99346,0.99381,1065,19,319500000,0.99627,0.99386,0.99386,0.99627,52.13183,5.82452,-0.0001469,-0.0001604,29.27334,18.96278,20.81637,60.64845,0.58918,56.93921,0.05034,77.59278,59.97278,0,1,win
425,425,1661233800,0.99406,0.99424,0.99406,0.99416,934,19,280200000,0.9957,0.99399,0.99399,0.9957,54.1326,56.353,-1.6e-05,-2.46e-05,25.92031,18.67494,21.55411,41.31493,0.65372,49.58078,0.04226,76.69685,52.86419,0,1,loss
476,476,1661249100,0.99094,0.99142,0.99046,0.99094,2299,8,689700000,0.9945,0.99239,0.99239,0.9945,38.55579,-56.68504,-0.0006115,-0.0006339,19.63931,23.64425,53.25473,43.97798,0.39955,53.83509,-0.11692,89.36757,80.66254,0,1,win
500,500,1661256300,0.99333,0.994,0.99329,0.99387,2016,8,604800000,0.99416,0.99278,0.99278,0.99416,59.55964,88.32685,0.0003562,0.0003457,20.31259,17.94406,16.90623,49.48168,0.61302,60.22753,0.09971,51.30805,26.95023,1,1,loss
520,520,1661262300,0.99256,0.99298,0.99241,0.99271,1592,8,477600000,0.99384,0.99254,0.99254,0.99384,52.8812,47.27689,-0.0001161,-0.0001466,28.28581,17.16622,21.72072,56.82011,0.61976,54.31754,0.03527,82.67219,73.87081,0,1,loss
536,536,1661267100,0.9921,0.99267,0.99206,0.99261,1841,8,552300000,0.99363,0.9925,0.9925,0.99363,51.93765,-1.41243,1.5e-06,-9.1e-06,16.48454,10.0495,22.64032,55.49645,0.65469,55.14819,0.03023,32.34203,45.22169,0,1,loss
544,544,1661269500,0.99273,0.99279,0.9923,0.9926,1829,8,548700000,0.99352,0.99241,0.99241,0.99352,53.24462,48.61111,-4.69e-05,-6.79e-05,19.59432,13.97217,21.41367,52.9349,0.65311,54.0025,0.00705,72.54751,44.19892,1,1,win
595,595,1661284800,0.99787,0.99795,0.99757,0.99795,1740,8,522000000,0.99511,0.99702,0.99702,0.99511,54.43419,21.79601,1.21e-05,1.13e-05,22.36206,15.20904,19.67514,54.52367,0.59223,48.32066,0.12642,94.87319,88.1609,0,1,loss
620,620,1661292300,0.99602,0.99628,0.99602,0.99621,798,8,239400000,0.99542,0.99664,0.99664,0.99542,43.09845,-64.52214,-0.0002911,-0.0002971,11.80486,18.32467,36.03171,41.352,0.41607,40.39433,-0.05217,32.37789,26.73646,1,1,win
656,656,1661303100,0.99698,0.99706,0.99694,0.99703,365,23,109500000,0.99581,0.99675,0.99675,0.99581,59.23447,157.08419,7.77e-05,7.53e-05,23.13424,18.64385,18.19723,57.81755,0.72526,59.86878,0.00802,64.8818,51.14143,0,1,loss
664,664,1661305500,0.9968,0.99724,0.99677,0.99714,565,23,169500000,0.9959,0.99679,0.99679,0.9959,59.58357,208.00726,5.6e-05,5.52e-05,22.91621,19.01387,14.05336,50.77833,0.97921,50.2054,0.02608,52.93871,41.11542,0,1,loss
702,702,1661316900,0.99455,0.99487,0.99448,0.99486,990,19,297000000,0.99584,0.99575,0.99575,0.99584,41.17934,-57.97348,-0.0004244,-0.0004366,18.49901,29.80386,36.51645,28.05767,0.43285,41.81796,-0.03115,63.26852,54.16544,1,1,win
761,761,1661334600,0.99429,0.99491,0.99419,0.99469,1636,8,490800000,0.9954,0.99486,0.99486,0.9954,50.62072,-7.72758,-0.0002285,-0.0002304,17.63843,16.10066,30.45492,36.87636,0.5134,52.8278,0.00201,75.6127,58.29867,0,1,win
789,789,1661343000,0.99493,0.99564,0.99484,0.99556,1815,8,544500000,0.9953,0.99492,0.99492,0.9953,59.51792,114.30855,1.67e-05,-2.57e-05,22.96673,11.47202,18.51797,51.41993,0.88553,57.57148,0.08445,79.04887,55.0777,0,1,loss
814,814,1661350500,0.99345,0.99359,0.99314,0.99335,1988,8,596400000,0.99496,0.99407,0.99407,0.99496,46.89625,-14.63581,-0.0005302,-0.0005605,25.95272,20.68546,42.07554,43.73784,0.46152,46.24245,-0.08952,88.86158,68.93979,0,1,loss
839,839,1661358000,0.99251,0.99313,0.99244,0.99269,2217,8,665100000,0.99449,0.99326,0.99326,0.99449,48.1113,-13.08774,-0.0002353,-0.0002457,16.90305,13.94534,12.89079,50.783,0.4355,54.48636,-0.02316,43.54518,38.51536,0,1,loss
845,845,1661359800,0.99219,0.99286,0.9919,0.99254,2378,8,713400000,0.99436,0.99303,0.99303,0.99436,49.0253,-21.86044,-0.0002399,-0.0002632,15.63494,13.42763,16.76038,57.155,0.50561,53.85034,-0.00403,79.15172,61.27287,1,1,loss
850,850,1661361300,0.9917,0.99297,0.99169,0.99276,2420,8,726000000,0.99423,0.9928,0.9928,0.99423,53.49501,56.09024,-0.000284,-0.0003088,23.78908,18.26841,18.45164,49.5266,0.72545,51.59172,0.0272,53.07607,26.82866,0,1,win
887,887,1661372400,0.99606,0.99624,0.99587,0.9962,1290,8,387000000,0.99479,0.99525,0.99525,0.99479,56.57284,30.58295,3.32e-05,2.96e-05,24.55406,14.08375,32.37785,54.13856,0.59219,57.57456,0.06027,88.59437,73.35581,0,1,win
901,901,1661376600,0.99624,0.99637,0.99608,0.99635,1268,8,380400000,0.99498,0.99566,0.99566,0.99498,56.17901,61.48867,0.0001495,0.0001456,22.14302,17.04983,20.41282,57.14747,0.651,57.83411,0.02008,41.6947,30.63447,1,1,win
909,909,1661379000,0.99648,0.99692,0.99646,0.99685,1123,8,336900000,0.99509,0.99588,0.99588,0.99509,61.5854,196.75772,0.0001714,0.0001544,27.95366,15.89039,20.36667,64.94173,0.81178,65.2004,0.08233,66.77942,43.82576,0,1,loss
916,916,1661381100,0.99681,0.99715,0.99674,0.99712,1139,8,341700000,0.99519,0.99606,0.99606,0.99519,62.63527,174.31979,0.0001819,0.0001529,33.15417,19.19976,18.99088,64.61471,1.00092,67.0908,0.07728,71.45665,41.29231,0,1,loss
939,939,1661388000,0.99682,0.99688,0.99682,0.99688,333,23,99900000,0.99551,0.99646,0.99646,0.99551,54.48003,52.16875,3.25e-05,2.92e-05,36.26233,9.89051,20.62095,29.33684,0.65707,56.89279,0.03512,74.24759,53.08996,0,1,win
943,943,1661389200,0.99666,0.99699,0.99665,0.99697,496,23,148800000,0.99556,0.99651,0.99651,0.99556,55.91832,85.33451,5.21e-05,3.72e-05,32.6149,17.76552,22.62395,32.59328,0.79055,60.03411,0.04817,71.21934,74.2171,0,1,win
960,960,1661394300,0.99679,0.99689,0.99671,0.99684,374,23,112200000,0.99575,0.99662,0.99662,0.99575,53.87704,75.50511,1.81e-05,1.18e-05,23.55906,16.27047,11.12363,58.08804,0.72433,57.28875,0.01204,84.37803,74.60734,1,1,win
968,968,1661396700,0.99631,0.99719,0.99631,0.99719,1296,19,388800000,0.99582,0.99666,0.99666,0.99582,59.7998,117.6699,1.99e-05,1.43e-05,19.15052,25.3349,17.20316,51.01387,1.15962,54.51407,0.06824,42.2702,37.08361,0,1,win
982,982,1661400900,0.99816,0.99884,0.99811,0.99876,1649,19,494700000,0.99612,0.99729,0.99729,0.99612,67.54414,102.42943,0.000375,0.0003457,31.71519,20.92045,21.48366,65.39329,0.83305,56.15555,0.0922,44.61153,45.10006,0,1,win
1021,1021,1661412600,0.99877,0.99902,0.99874,0.99898,1514,19,454200000,0.99692,0.99833,0.99833,0.99692,62.13918,215.59322,0.0001028,8.69e-05,30.22736,12.02024,19.61398,56.46548,1.02172,54.41046,0.0621,96.85752,77.77894,0,1,win
1042,1042,1661418900,1.0,1.00234,0.99999,1.00197,2824,8,847200000,0.99744,0.9991,0.9991,0.99744,76.45133,268.3732,0.0003312,0.0001915,29.48168,16.01279,28.40775,41.76488,1.14996,55.49917,0.23108,65.55997,49.30106,0,1,win
1071,1071,1661427600,1.00054,1.00078,1.0004,1.00062,2174,8,652200000,0.99828,1.00011,1.00011,0.99828,53.60123,20.61714,-0.0001114,-0.0001333,19.3633,16.9082,23.51861,49.52686,0.559,50.60613,0.08001,89.45495,60.04867,0,1,loss
1100,1100,1661436300,0.99821,0.99865,0.99816,0.9986,2114,8,634200000,0.99849,0.99929,0.99929,0.99849,46.29796,-23.60481,-0.0005054,-0.0005279,20.44568,24.92668,37.06551,43.30149,0.47912,51.66581,-0.07105,71.07581,47.61052,0,1,loss
1127,1127,1661444400,0.99635,0.99696,0.99633,0.9967,2495,8,748500000,0.99822,0.99788,0.99788,0.99822,44.66338,-54.44273,-0.0005121,-0.0005189,23.2602,17.70547,13.5781,56.37129,0.42161,55.80533,-0.04212,74.36962,52.07092,1,1,win
